pub_date	title	venue	excerpt	citation	url_slug	paper_url	
2025	Basic Psychological Needs Are Associated With Engagement and Hate Term Use in Extremist Chatrooms  Social Psychological and Personality Science	This paper is about the number 1. The number 2 is left for future work.	Rappel, J.J.J., Vachon, D., & Hehman, E. (2025). "Basic Psychological Needs Are Associated With Engagement and Hate Term Use in Extremist Chatrooms."  <i>Social Psychological and Personality Science</i>.	https://doi.org/10.1177/19485506251389642
2024	The Role of Basic Psychological Needs in Right-Wing Extremism Risk Among American Conservatives  Terrorism and Political Violence	This paper is about the number 2. The number 3 is left for future work.	Your Name, You. (2010). "Paper Title Number 2." <i>Journal 1</i>. 1(553-551).	paper-title-number-2	https://doi.org/10.1080/09546553.2023.2178305
